NewDate,Date,level,Pression,PressioncorrigeePam,hauteurcorrigeePam
2021-03-16 11:39:34.000,2021-03-16 11:39:34,-0.26,-0.026259966200000002,-0.026270162000000003,-0.259989925081401
2021-03-16 11:39:34.500,2021-03-16 11:39:34,-0.26,-0.026259966200000002,-0.02627016202,-0.2599899252793365
2021-03-16 11:39:35.000,2021-03-16 11:39:35,-0.26,-0.026259966200000002,-0.026270162040000003,-0.25998992547727207
2021-03-16 11:39:35.500,2021-03-16 11:39:35,-0.26,-0.026259966200000002,-0.02627016206,-0.25998992567520757
2021-03-16 11:39:36.000,2021-03-16 11:39:36,-0.26,-0.026259966200000002,-0.026270162080000003,-0.2599899258731431
2021-03-16 11:39:36.500,2021-03-16 11:39:36,-0.26,-0.026259966200000002,-0.0262701621,-0.2599899260710786
2021-03-16 11:39:37.000,2021-03-16 11:39:37,-0.26,-0.026259966200000002,-0.026270162120000003,-0.2599899262690142
2021-03-16 11:39:37.500,2021-03-16 11:39:37,-0.26,-0.026259966200000002,-0.02627016214,-0.2599899264669497
2021-03-16 11:39:38.000,2021-03-16 11:39:38,-0.26,-0.026259966200000002,-0.026270162160000003,-0.25998992666488524
2021-03-16 11:39:38.500,2021-03-16 11:39:38,-0.26,-0.026259966200000002,-0.02627016218,-0.2599899268628208
2021-03-16 11:39:39.000,2021-03-16 11:39:39,-0.26,-0.026259966200000002,-0.026270162200000002,-0.2599899270607563
2021-03-16 11:39:39.500,2021-03-16 11:39:39,-0.26,-0.026259966200000002,-0.02627016222,-0.25998992725869186
2021-03-16 11:39:40.000,2021-03-16 11:39:40,-0.26,-0.026259966200000002,-0.026270162240000002,-0.2599899274566274
2021-03-16 11:39:40.500,2021-03-16 11:39:40,-0.26,-0.026259966200000002,-0.02627016226,-0.2599899276545629
2021-03-16 11:39:41.000,2021-03-16 11:39:41,-0.26,-0.026259966200000002,-0.026270162280000002,-0.25998992785249847
2021-03-16 11:39:41.500,2021-03-16 11:39:41,-0.26,-0.026259966200000002,-0.0262701623,-0.25998992805043397
2021-03-16 11:39:42.000,2021-03-16 11:39:42,-0.26,-0.026259966200000002,-0.026270162320000002,-0.25998992824836953
2021-03-16 11:39:42.500,2021-03-16 11:39:42,-0.26,-0.026259966200000002,-0.026270162340000004,-0.25998992844630503
2021-03-16 11:39:43.000,2021-03-16 11:39:43,-0.26,-0.026259966200000002,-0.02627016236,-0.2599899286442406
2021-03-16 11:39:43.500,2021-03-16 11:39:43,-0.26,-0.026259966200000002,-0.026270162380000003,-0.2599899288421761
2021-03-16 11:39:44.000,2021-03-16 11:39:44,-0.26,-0.026259966200000002,-0.0262701624,-0.25998992904011164
2021-03-16 11:39:44.500,2021-03-16 11:39:44,-0.26,-0.026259966200000002,-0.026270162420000003,-0.25998992923804715
2021-03-16 11:39:45.000,2021-03-16 11:39:45,-0.26,-0.026259966200000002,-0.02627016244,-0.25998992943598265
2021-03-16 11:39:45.500,2021-03-16 11:39:45,-0.26,-0.026259966200000002,-0.026270162460000003,-0.2599899296339182
2021-03-16 11:39:46.000,2021-03-16 11:39:46,-0.26,-0.026259966200000002,-0.02627016248,-0.2599899298318537
2021-03-16 11:39:46.500,2021-03-16 11:39:46,-0.26,-0.026259966200000002,-0.026270162500000003,-0.25998993002978926
2021-03-16 11:39:47.000,2021-03-16 11:39:47,-0.26,-0.026259966200000002,-0.02627016252,-0.2599899302277248
2021-03-16 11:39:47.500,2021-03-16 11:39:47,-0.26,-0.026259966200000002,-0.026270162540000003,-0.2599899304256603
2021-03-16 11:39:48.000,2021-03-16 11:39:48,-0.26,-0.026259966200000002,-0.02627016256,-0.2599899306235959
2021-03-16 11:39:48.500,2021-03-16 11:39:48,-0.26,-0.026259966200000002,-0.026270162580000003,-0.25998993082153143
2021-03-16 11:39:49.000,2021-03-16 11:39:49,-0.26,-0.026259966200000002,-0.0262701626,-0.25998993101946694
2021-03-16 11:39:49.500,2021-03-16 11:39:49,-0.26,-0.026259966200000002,-0.026270162620000002,-0.2599899312174025
2021-03-16 11:39:50.000,2021-03-16 11:39:50,-0.26,-0.026259966200000002,-0.02627016264,-0.259989931415338
2021-03-16 11:39:50.500,2021-03-16 11:39:50,-0.26,-0.026259966200000002,-0.026270162660000002,-0.25998993161327355
2021-03-16 11:39:51.000,2021-03-16 11:39:51,-0.26,-0.026259966200000002,-0.02627016268,-0.25998993181120905
2021-03-16 11:39:51.500,2021-03-16 11:39:51,-0.26,-0.026259966200000002,-0.026270162700000002,-0.2599899320091446
2021-03-16 11:39:52.000,2021-03-16 11:39:52,-0.26,-0.026259966200000002,-0.02627016272,-0.2599899322070801
2021-03-16 11:39:52.500,2021-03-16 11:39:52,-0.26,-0.026259966200000002,-0.026270162740000002,-0.25998993240501567
2021-03-16 11:39:53.000,2021-03-16 11:39:53,-0.26,-0.026259966200000002,-0.02627016276,-0.25998993260295117
2021-03-16 11:39:53.500,2021-03-16 11:39:53,-0.26,-0.026259966200000002,-0.026270162780000002,-0.2599899328008867
2021-03-16 11:39:54.000,2021-03-16 11:39:54,-0.26,-0.026259966200000002,-0.026270162800000003,-0.2599899329988223
2021-03-16 11:39:54.500,2021-03-16 11:39:54,-0.26,-0.026259966200000002,-0.02627016282,-0.2599899331967578
